State,Date,Sex,Age,Ethnicity,Population,Area
Johor,1/1/2023,both,overall,overall,4107.2,19210
Kedah,1/1/2023,both,overall,overall,2189.3,9500
Kelantan,1/1/2023,both,overall,overall,1859.8,15099
Melaka,1/1/2023,both,overall,overall,1028.3,1664
Negeri Sembilan,1/1/2023,both,overall,overall,1224.9,6686
Pahang,1/1/2023,both,overall,overall,1643.2,36137
Perak,1/1/2023,both,overall,overall,2541.2,21035
Perlis,1/1/2023,both,overall,overall,293.1,821
Pulau Pinang,1/1/2023,both,overall,overall,1772.6,1048
Sabah,1/1/2023,both,overall,overall,3596.7,72631
Sarawak,1/1/2023,both,overall,overall,2502.3,124450
Selangor,1/1/2023,both,overall,overall,7209.7,8104
Terengganu,1/1/2023,both,overall,overall,1210,13035
W.P. Kuala Lumpur,1/1/2023,both,overall,overall,2005.7,243
W.P. Labuan,1/1/2023,both,overall,overall,99,91
W.P. Putrajaya,1/1/2023,both,overall,overall,118.8,49
